word,cefr_level,difficulty_level
mainland,C1,6.4
mainstream,C1,6.2
maintenance,C1,6.8
mandate,C1,7.1
mandatory,C1,7.0
manifest,C1,7.3
manipulate,C1,7.3
manuscript,C1,6.2
march,C1,6.4
marginal,C1,7.3
marine,C1,6.8
marketplace,C1,6.2
mask,C1,6.9
massacre,C1,6.2
mathematical,C1,7.1
mature,C1,7.0
maximize,C1,6.3
meaningful,C1,6.2
meantime,C1,6.1
medieval,C1,7.1
meditation,C1,6.1
melody,C1,6.2
memo,C1,6.5
memoir,C1,6.2
memorial,C1,6.9
mentor,C1,6.2
merchant,C1,6.3
mercy,C1,7.0
mere,C1,7.0
merge,C1,7.3
merger,C1,6.1
merit,C1,7.1
methodology,C1,6.2
midst,C1,6.4
migration,C1,7.0
militant,C1,7.3
militia,C1,6.2
mill,C1,6.9
minimal,C1,6.3
minimize,C1,7.2
mining,C1,6.8
ministry,C1,6.8
minute,C1,6.5
miracle,C1,6.0
misery,C1,6.2
misleading,C1,7.2
missile,C1,6.0
mob,C1,7.1
mobile,C1,6.6
mobility,C1,6.3
mobilize,C1,7.6
moderate,C1,7.0
modification,C1,7.2
module,C1,7.2
momentum,C1,6.1
monk,C1,6.2
monopoly,C1,7.2
morality,C1,6.2
motive,C1,7.2
municipal,C1,6.0
mutual,C1,6.0
namely,C1,6.3
nationwide,C1,6.1
naval,C1,6.2
neglect,C1,7.2
neighboring,C1,7.2
nest,C1,7.1
net,C1,6.7
newsletter,C1,6.5
niche,C1,7.2
noble,C1,7.0
nod,C1,7.3
nominate,C1,7.4
nominee,C1,6.4
nonetheless,C1,6.3
nonprofit,C1,6.2
nonsense,C1,7.0
noon,C1,6.3
notable,C1,7.1
notify,C1,6.5
notorious,C1,6.5
novel,C1,6.8
nursery,C1,6.2
objection,C1,7.2
oblige,C1,7.6
obsess,C1,6.7
occasional,C1,7.0
occurrence,C1,6.2
odds,C1,6.0
offering,C1,6.8
offspring,C1,7.2
operational,C1,7.0
opt,C1,6.4
optical,C1,7.1
optimism,C1,6.3
oral,C1,7.0
organizational,C1,6.5
profitable,C1,6.3
profound,C1,7.2
prominent,C1,5.9
propaganda,C1,6.2
proposition,C1,7.2
prosecute,C1,7.4
prospective,C1,6.4
prosperity,C1,6.2
protocol,C1,7.0
provincial,C1,7.1
provision,C1,7.0
provoke,C1,7.4
psychiatric,C1,6.4
query,C1,6.3
quota,C1,7.4
radical,C1,6.9
rally,C1,6.9
rational,C1,7.1
realm,C1,7.1
reassure,C1,6.5
rebel,C1,7.1
recipient,C1,6.2
referendum,C1,6.4
reform,C1,6.8
refuge,C1,7.2
regime,C1,5.9
rehabilitate,C1,7.7
reign,C1,7.1
reluctant,C1,7.2
remedy,C1,7.2
render,C1,7.2
renowned,C1,6.4
reproduce,C1,7.3
reside,C1,7.3
residue,C1,6.4
resignation,C1,7.1
restraint,C1,7.3
resume,C1,7.0
retrieve,C1,7.3
revelation,C1,7.1
revive,C1,7.3
rhetoric,C1,7.1
ritual,C1,7.1
robust,C1,7.2
sacred,C1,7.0
sanction,C1,7.4
scrutiny,C1,6.3
secular,C1,7.1
segment,C1,7.0
seize,C1,7.2
seldom,C1,6.6
sentiment,C1,6.1
shatter,C1,7.6
sheer,C1,7.1
shrink,C1,7.3
simulate,C1,7.4
simultaneously,C1,6.2
skeptical,C1,6.3
solidarity,C1,6.4
sovereignty,C1,7.2
span,C1,7.1
specification,C1,7.3
specimen,C1,6.3
spectrum,C1,6.0
sphere,C1,7.2
stark,C1,7.1
statistically,C1,6.6
steer,C1,7.3
stereotype,C1,6.4
stimulus,C1,6.5
straightforward,C1,7.2
strain,C1,7.0
strategic,C1,5.9
striking,C1,7.0
strive,C1,6.3
subsequent,C1,6.1
subsidy,C1,6.7
substantial,C1,6.9
substitute,C1,7.0
subtle,C1,7.1
succession,C1,7.1
sue,C1,6.0
summit,C1,6.9
superb,C1,6.1
superior,C1,6.8
supervise,C1,6.5
supplement,C1,7.1
suppress,C1,7.3
supreme,C1,6.7
surge,C1,7.2
surplus,C1,6.2
surrender,C1,7.1
surveillance,C1,6.2
sustain,C1,7.2
symbolic,C1,7.2
syndrome,C1,6.0
synthesis,C1,7.2
systematic,C1,6.2
tackle,C1,7.0
tactic,C1,6.5
tenant,C1,7.2
tender,C1,7.1
tenure,C1,7.2
terminal,C1,6.9
terminate,C1,7.3
terrain,C1,6.4
testify,C1,6.2
texture,C1,7.2
theoretical,C1,6.1
thereafter,C1,6.4
thereby,C1,6.3
thoughtful,C1,7.2
threshold,C1,7.1
thrive,C1,6.3
tolerance,C1,7.1
toll,C1,7.1
toxic,C1,6.2
transaction,C1,6.2
transcript,C1,6.3
transformation,C1,7.0
transit,C1,7.0
transmission,C1,6.9
transparency,C1,7.2
trauma,C1,6.0
treaty,C1,6.1
tremendous,C1,7.1
tribute,C1,7.0
trigger,C1,7.0
triumph,C1,7.1
trustee,C1,6.3
tuition,C1,6.1
turnover,C1,7.2
unconstitutional,C1,6.6
underlying,C1,7.0
undermine,C1,6.3
unify,C1,7.7
unprecedented,C1,6.5
unveil,C1,7.6
uphold,C1,7.4
utility,C1,7.0
utilize,C1,6.3
utterly,C1,6.3
vague,C1,7.2
validity,C1,7.3
variable,C1,7.0
venture,C1,7.0
verbal,C1,7.2
verdict,C1,6.3
verify,C1,7.2
viable,C1,6.1
vibrant,C1,7.3
vicious,C1,7.2
violate,C1,7.3
virtue,C1,7.2
vocal,C1,7.0
vow,C1,7.4
vulnerable,C1,7.0
warrant,C1,7.0
whereby,C1,6.5
wholly,C1,6.5
wit,C1,7.1
withdrawal,C1,7.1
worthwhile,C1,6.5
yield,C1,7.0
