word,cefr_level
prompt,B2
proportion,B2
protein,B2
protester,B2
psychological,B2
publicity,B2
publishing,B2
punk,B2
pure,B2
pursuit,B2
puzzle,B2
questionnaire,B2
racial,B2
racism,B2
racist,B2
radiation,B2
rail,B2
random,B2
rat,B2
rating,B2
reasonable,B2
rebuild,B2
receiver,B2
recession,B2
reckon,B2
recognition,B2
recovery,B2
recruit,B2
referee,B2
refugee,B2
registration,B2
regulate,B2
reinforce,B2
relieve,B2
remarkable,B2
rental,B2
reporting,B2
resign,B2
resolution,B2
restore,B2
restrict,B2
résumé,B2
retail,B2
retirement,B2
revenue,B2
revision,B2
ridiculous,B2
risky,B2
rival,B2
rob,B2
rocket,B2
romance,B2
rose,B2
rough,B2
ruin,B2
satisfaction,B2
scandal,B2
scare,B2
scenario,B2
scholar,B2
scholarship,B2
scratch,B2
screening,B2
seeker,B2
seminar,B2
settler,B2
severe,B2
sexy,B2
shaped,B2
shocking,B2
shore,B2
shortage,B2
short,B2
short-term,B2
sibling,B2
sidewalk,B2
signature,B2
significance,B2
skilled,B2
skull,B2
slogan,B2
so-called,B2
somehow,B2
sometime,B2
sophisticated,B2
spare,B2
specialize,B2
specify,B2
spectacular,B2
spectator,B2
speculate,B2
spice,B2
spill,B2
spite,B2
spoil,B2
spokesperson,B2
sponsorship,B2
stall,B2
stance,B2
starve,B2
steady,B2
steam,B2
stimulate,B2
strengthen,B2
strict,B2
stroke,B2
stunning,B2
subsequent,B2
suburb,B2
suffering,B2
sufficient,B2
super,B2
surgeon,B2
survival,B2
survivor,B2
suspend,B2
sustainable,B2
swallow,B2
sympathetic,B2
tackle,B2
tag,B2
tap,B2
technological,B2
teen,B2
temple,B2
temporary,B2
tendency,B2
tension,B2
terminal,B2
terms,B2
terrible,B2
terrify,B2
territory,B2
terror,B2
terrorism,B2
terrorist,B2
testing,B2
textbook,B2
theft,B2
therapist,B2
thesis,B2
thorough,B2
thumb,B2
timing,B2
tissue,B2
tournament,B2
trace,B2
trading,B2
tragedy,B2
tragic,B2
trait,B2
transmit,B2
trap,B2
treasure,B2
tribe,B2
trigger,B2
trillion,B2
troop,B2
tsunami,B2
ultimate,B2
unacceptable,B2
uncertainty,B2
undergo,B2
undertake,B2
unfold,B2
unfortunate,B2
unite,B2
unity,B2
universal,B2
urgent,B2
usage,B2
useless,B2
valid,B2
variation,B2
vertical,B2
viewpoint,B2
visa,B2
visible,B2
voluntary,B2
voting,B2
wander,B2
warming,B2
weekly,B2
weird,B2
welfare,B2
wheat,B2
whoever,B2
widespread,B2
wisdom,B2
withdraw,B2
wolf,B2
workforce,B2
workplace,B2
workshop,B2
worm,B2
wrist,B2
abolish,C1
abortion,C1
absence,C1
absurd,C1
abuse,C1
academy,C1
accelerate,C1
acceptance,C1
accessible,C1
accomplishment,C1
accord,C1
accountability,C1
accountable,C1
accumulate,C1
accusation,C1
accused,C1
acid,C1
acquisition,C1
activation,C1
activist,C1
acute,C1
adaptation,C1
adhere,C1
adjacent,C1
adjustment,C1
administer,C1
administrative,C1
administrator,C1
admission,C1
adolescent,C1
adoption,C1
adverse,C1
advocate,C1
aesthetic,C1
affection,C1
aftermath,C1
aggression,C1
agricultural,C1
aide,C1
alert,C1
alien,C1
align,C1
alike,C1
allegation,C1
allege,C1
alliance,C1
allocate,C1
allowance,C1
ally,C1
aluminum,C1
amateur,C1
ambassador,C1
amend,C1
amendment,C1
amid,C1
analogy,C1
anchor,C1
angel,C1
anonymous,C1
apparatus,C1
apparel,C1
appealing,C1
appetite,C1
applaud,C1
applicable,C1
appoint,C1
appreciation,C1
arbitrary,C1
architectural,C1
archive,C1
arena,C1
arm,C1
array,C1
articulate,C1
ash,C1
aspiration,C1
aspire,C1
assassination,C1
assault,C1
assemble,C1
assert,C1
assurance,C1
asylum,C1
atrocity,C1
attain,C1
attendance,C1
attribute,C1
auction,C1
